booking_id,addon_id,addon_quantity
2,2,2
2,5,2
2,7,1
2,11,2
4,7,1
5,5,2
5,7,1
6,7,1
7,7,1
8,7,1
8,10,2
9,8,15
10,7,1
10,14,1
12,6,1
14,4,1
14,8,3
15,7,1
15,5,2
16,6,2
20,6,3
20,14,1
20,7,1
21,6,2
21,14,1
21,11,1
22,8,1
23,8,13
25,7,1
26,8,6
27,14,1
27,1,1
28,8,7
29,7,1
30,7,1
30,1,1
31,8,5
33,7,1
34,5,2
34,7,1
35,7,1
36,8,10
36,14,1
37,7,1
38,10,1
39,7,1
39,11,3
40,2,1
40,7,1
41,7,1
42,2,1
42,7,1
43,6,2
43,7,1
44,8,1
45,14,1
45,2,1
45,11,2
45,7,1
46,8,4
47,7,1
47,5,2
47,11,2
48,8,11
48,11,1
49,2,1
49,8,9
50,7,1
51,7,1
51,11,1
52,7,1
54,5,2
54,7,1
55,1,1
55,7,1
55,6,2
56,5,2
56,8,20
57,6,1
57,7,1
58,6,1
58,7,1
58,10,1
59,7,1
59,14,1
60,8,11
62,6,2
62,7,1
63,2,1
63,8,10
64,7,1
65,8,6
67,14,1
67,1,4
67,5,1
68,5,2
68,7,1
68,6,2
69,1,1
70,7,1
71,7,1
72,7,1
73,7,1
74,8,2
76,8,17
77,8,8
78,8,5
78,10,1
79,5,3
79,8,10
80,2,1
80,7,1
81,2,1
81,8,13
82,1,1
82,7,1
83,7,1
84,7,1
84,11,1
85,6,1
86,8,2
87,8,14
88,7,1
88,1,1
89,7,1
90,7,1
91,7,1
92,7,1
92,6,2
92,2,2
93,7,1
95,7,1
95,9,1
96,7,1
96,6,2
98,8,13
99,8,6
99,11,2
100,14,1
101,14,1
101,5,1
101,7,1
102,8,11
103,8,7
104,11,1
104,7,1
105,1,1
105,7,1
106,6,2
106,8,8
107,8,7
107,11,1
109,8,10
116,6,2
116,2,1
120,2,1
120,4,1
122,7,1
124,6,2
125,6,1
125,7,1
126,5,2
126,7,1
128,7,1
129,7,1
130,8,8
131,7,1
132,6,2
132,8,6
133,7,1
135,6,2
135,7,1
136,6,1
136,7,1
136,11,1
137,6,2
137,8,6
140,2,1
141,2,2
141,6,2
142,9,1
144,7,1
146,7,1
147,8,10
148,6,1
148,8,9
149,7,1
149,11,2
150,7,1
150,2,2
150,19,1
151,8,2
152,8,13
153,2,1
153,6,1
153,7,1
154,7,1
155,7,1
156,6,1
156,10,1
156,7,1
157,6,2
157,5,2
157,7,1
158,6,2
159,8,5
160,8,10
161,8,2
162,7,1
163,7,1
164,6,1
164,7,1
165,8,1
165,1,1
167,6,2
167,8,10
169,8,7
170,1,1
170,8,2
171,7,1
172,6,2
172,7,1
173,5,2
173,7,1
174,6,2
174,8,6
174,11,1
175,7,1
176,8,4
177,2,1
177,14,1
177,8,5
178,7,1
179,8,12
180,6,1
180,8,16
180,11,1
181,8,9
182,8,1
183,11,5
184,2,1
184,7,1
184,11,2
185,6,2
185,7,1
186,2,1
186,7,1
187,10,1
187,11,53
188,7,1
189,6,2
189,8,6
190,8,6
191,8,11
194,7,1
195,7,1
195,11,4
196,7,1
197,6,2
197,8,9
166,7,1
166,14,1
199,2,1
200,7,1
201,7,1
201,2,1
203,8,8
204,8,8
204,11,2
205,8,11
205,1,1
206,14,1
206,7,1
207,11,1
207,7,1
209,11,1
211,8,7
213,8,9
214,8,20
215,8,11
216,8,6
217,7,1
218,7,1
219,11,4
221,11,2
225,2,1
226,2,1
227,5,2
227,2,1
228,6,2
231,1,1
231,7,1
233,7,1
234,8,13
235,8,10
236,14,1
236,8,5
240,7,1
241,7,1
242,2,1
242,7,1
243,2,1
243,8,12
244,9,2
244,12,1
244,8,14
245,8,19
246,1,1
246,11,1
247,7,1
248,7,1
248,9,1
248,11,1
249,7,1
250,7,1
250,11,1
251,7,1
251,2,1
252,7,1
252,11,2
253,7,1
253,11,4
253,9,1
254,1,1
254,8,8
254,9,2
255,9,1
256,7,1
257,8,3
257,11,1
258,8,6
258,11,3
260,7,1
261,8,12
262,7,1
263,8,9
264,8,2
265,7,1
266,6,1
266,8,2
267,8,2
267,10,1
268,8,4
268,11,1
269,7,1
229,6,2
232,11,1
229,2,1
232,7,1
270,8,11
271,7,1
272,7,1
