booking_id,customer_id,package_id,session_date,session_status
2,2036,2.0,2024-02-25 00:00:00+00:00,BOOKED
4,2037,2.0,2024-02-25 00:00:00+00:00,BOOKED
5,2038,2.0,2024-02-25 00:00:00+00:00,BOOKED
6,2039,3.0,2024-02-26 00:00:00+00:00,BOOKED
7,2040,3.0,2024-02-26 00:00:00+00:00,BOOKED
8,2041,5.0,2024-02-26 00:00:00+00:00,BOOKED
9,2042,5.0,2024-02-26 00:00:00+00:00,BOOKED
10,2043,3.0,2024-02-27 00:00:00+00:00,BOOKED
11,2044,2.0,2024-02-27 00:00:00+00:00,BOOKED
12,2045,3.0,2024-02-28 00:00:00+00:00,BOOKED
13,2046,2.0,2024-02-28 00:00:00+00:00,BOOKED
14,2046,3.0,2024-02-28 00:00:00+00:00,BOOKED
15,2047,4.0,2024-02-29 00:00:00+00:00,BOOKED
16,2048,3.0,2024-02-29 00:00:00+00:00,BOOKED
17,2049,2.0,2024-02-29 00:00:00+00:00,BOOKED
18,1495,2.0,2024-02-29 00:00:00+00:00,BOOKED
19,2050,2.0,2024-02-29 00:00:00+00:00,BOOKED
20,2051,1.0,2024-02-29 00:00:00+00:00,BOOKED
21,2052,5.0,2024-02-29 00:00:00+00:00,BOOKED
22,2053,2.0,2024-03-01 00:00:00+00:00,BOOKED
23,2054,2.0,2024-03-01 00:00:00+00:00,BOOKED
24,2055,3.0,2024-03-03 00:00:00+00:00,BOOKED
25,2248,3.0,2024-03-03 00:00:00+00:00,BOOKED
26,2056,3.0,2024-03-03 00:00:00+00:00,BOOKED
27,2057,3.0,2024-03-03 00:00:00+00:00,BOOKED
28,2058,2.0,2024-03-03 00:00:00+00:00,BOOKED
29,2059,3.0,2024-03-04 00:00:00+00:00,BOOKED
30,2060,3.0,2024-03-04 00:00:00+00:00,BOOKED
31,2061,3.0,2024-03-04 00:00:00+00:00,BOOKED
32,2062,3.0,2024-03-05 00:00:00+00:00,BOOKED
33,2063,3.0,2024-03-05 00:00:00+00:00,BOOKED
34,2064,2.0,2024-03-05 00:00:00+00:00,BOOKED
35,2065,3.0,2024-03-08 00:00:00+00:00,BOOKED
36,2066,2.0,2024-03-08 00:00:00+00:00,BOOKED
37,2067,3.0,2024-03-09 00:00:00+00:00,BOOKED
38,2068,2.0,2024-03-09 00:00:00+00:00,BOOKED
39,2069,2.0,2024-03-09 00:00:00+00:00,BOOKED
40,1153,3.0,2024-03-10 00:00:00+00:00,BOOKED
41,2070,3.0,2024-03-10 00:00:00+00:00,BOOKED
42,2071,2.0,2024-03-10 00:00:00+00:00,BOOKED
43,2072,2.0,2024-03-10 00:00:00+00:00,BOOKED
44,2073,2.0,2024-03-10 00:00:00+00:00,BOOKED
45,2074,2.0,2024-03-10 00:00:00+00:00,BOOKED
46,221,1.0,2024-03-10 00:00:00+00:00,BOOKED
47,2075,1.0,2024-03-11 00:00:00+00:00,BOOKED
48,2076,1.0,2024-03-11 00:00:00+00:00,BOOKED
49,2077,5.0,2024-03-11 00:00:00+00:00,BOOKED
50,2078,3.0,2024-03-12 00:00:00+00:00,BOOKED
51,1148,3.0,2024-03-12 00:00:00+00:00,BOOKED
52,2079,2.0,2024-03-16 00:00:00+00:00,BOOKED
53,2080,6.0,2024-03-16 00:00:00+00:00,BOOKED
54,2081,4.0,2024-03-17 00:00:00+00:00,BOOKED
55,43,3.0,2024-03-17 00:00:00+00:00,BOOKED
