booking_id,user_id,item_id,session_date,rating
1691.0,2427,2,2025-08-05 00:00:00+00:00,1
708.0,2307,addon::11,2024-09-13 00:00:00+00:00,1
,339,21,,0
,2287,8,,0
,1525,1,,0
1571.0,1478,addon::7,2025-06-19 00:00:00+00:00,1
319.0,144,addon::1,2024-05-20 00:00:00+00:00,1
1458.0,1355,addon::5,2025-05-11 00:00:00+00:00,1
206.0,2187,2,2024-04-26 00:00:00+00:00,1
1237.0,1113,addon::9,2025-02-23 00:00:00+00:00,1
,359,6,,0
1339.0,1222,1,2025-04-07 00:00:00+00:00,1
1708.0,1613,2,2025-08-11 00:00:00+00:00,1
,386,8,,0
1647.0,1558,addon::8,2025-07-17 00:00:00+00:00,1
923.0,2337,2,2024-11-16 00:00:00+00:00,1
1471.0,1368,2,2025-05-17 00:00:00+00:00,1
,604,18,,0
744.0,652,addon::8,2024-09-22 00:00:00+00:00,1
1928.0,808,addon::8,2025-11-14 00:00:00+00:00,1
,1736,19,,0
,26,20,,0
,1647,21,,0
96.0,267,3,2024-03-27 00:00:00+00:00,1
,2335,3,,0
4.0,2037,addon::7,2024-02-25 00:00:00+00:00,1
273.0,55,addon::6,2024-05-08 00:00:00+00:00,1
1433.0,1336,5,2025-05-04 00:00:00+00:00,1
,1291,4,,0
,6,6,,0
1919.0,1784,addon::7,2025-11-09 00:00:00+00:00,1
1160.0,2366,addon::11,2025-01-23 00:00:00+00:00,1
739.0,648,2,2024-09-21 00:00:00+00:00,1
366.0,225,addon::1,2024-05-28 00:00:00+00:00,1
1727.0,1627,5,2025-08-16 00:00:00+00:00,1
248.0,25,addon::7,2024-05-03 00:00:00+00:00,1
550.0,439,addon::8,2024-07-12 00:00:00+00:00,1
,788,19,,0
,1075,20,,0
1401.0,2393,2,2025-04-23 00:00:00+00:00,1
682.0,583,addon::7,2024-08-31 00:00:00+00:00,1
1282.0,1151,addon::6,2025-03-16 00:00:00+00:00,1
,1255,4,,0
242.0,26,addon::7,2024-05-03 00:00:00+00:00,1
1427.0,1096,2,2025-05-02 00:00:00+00:00,1
174.0,2162,3,2024-04-19 00:00:00+00:00,1
,493,5,,0
859.0,766,3,2024-10-27 00:00:00+00:00,1
355.0,215,2,2024-05-27 00:00:00+00:00,1
730.0,637,addon::8,2024-09-18 00:00:00+00:00,1
176.0,2163,2,2024-04-20 00:00:00+00:00,1
253.0,32,addon::9,2024-05-04 00:00:00+00:00,1
,2317,21,,0
1269.0,2377,addon::8,2025-03-05 00:00:00+00:00,1
74.0,2096,3,2024-03-23 00:00:00+00:00,1
1885.0,1755,addon::7,2025-10-25 00:00:00+00:00,1
,1559,21,,0
331.0,166,2,2024-05-23 00:00:00+00:00,1
759.0,2317,addon::7,2024-09-29 00:00:00+00:00,1
151.0,2148,addon::8,2024-04-13 00:00:00+00:00,1
1342.0,1230,addon::11,2025-04-08 00:00:00+00:00,1
1007.0,913,3,2024-12-17 00:00:00+00:00,1
943.0,37,addon::7,2024-11-25 00:00:00+00:00,1
177.0,2164,5,2024-04-20 00:00:00+00:00,1
348.0,2262,addon::7,2024-05-27 00:00:00+00:00,1
1807.0,1694,addon::7,2025-09-20 00:00:00+00:00,1
1019.0,923,17,2024-12-20 00:00:00+00:00,1
1649.0,1564,addon::15,2025-07-19 00:00:00+00:00,1
,1344,21,,0
,853,21,,0
1366.0,2388,addon::8,2025-04-13 00:00:00+00:00,1
508.0,289,2,2024-06-29 00:00:00+00:00,1
587.0,2293,3,2024-07-27 00:00:00+00:00,1
271.0,52,7,2024-05-08 00:00:00+00:00,1
284.0,71,2,2024-05-12 00:00:00+00:00,1
,607,19,,0
,55,20,,0
,1437,2,,0
,338,7,,0
367.0,231,addon::7,2024-05-29 00:00:00+00:00,1
,1363,18,,0
1698.0,2428,1,2025-08-08 00:00:00+00:00,1
1150.0,1033,addon::8,2025-01-17 00:00:00+00:00,1
375.0,244,addon::8,2024-05-30 00:00:00+00:00,1
,2378,9,,0
1770.0,1660,addon::7,2025-09-05 00:00:00+00:00,1
,686,5,,0
827.0,736,addon::2,2024-10-14 00:00:00+00:00,1
,2079,20,,0
1129.0,1016,3,2025-01-08 00:00:00+00:00,1
,2202,5,,0
,874,5,,0
1879.0,824,addon::8,2025-10-20 00:00:00+00:00,1
,2093,5,,0
,2383,5,,0
815.0,721,addon::8,2024-10-12 00:00:00+00:00,1
1439.0,2395,addon::11,2025-05-06 00:00:00+00:00,1
232.0,20,2,2024-05-02 00:00:00+00:00,1
,1481,17,,0
167.0,2158,addon::6,2024-04-16 00:00:00+00:00,1
372.0,234,addon::8,2024-05-29 00:00:00+00:00,1
,2408,19,,0
,625,20,,0
,527,19,,0
1652.0,1562,addon::8,2025-07-19 00:00:00+00:00,1
,97,18,,0
1424.0,573,2,2025-05-01 00:00:00+00:00,1
,631,1,,0
,323,6,,0
1246.0,1123,addon::7,2025-02-27 00:00:00+00:00,1
,567,6,,0
763.0,671,addon::8,2024-09-29 00:00:00+00:00,1
1620.0,1530,addon::14,2025-07-06 00:00:00+00:00,1
191.0,2174,2,2024-04-23 00:00:00+00:00,1
1183.0,1069,addon::7,2025-01-31 00:00:00+00:00,1
1312.0,1181,2,2025-03-28 00:00:00+00:00,1
,1078,6,,0
572.0,465,3,2024-07-19 00:00:00+00:00,1
2.0,2036,addon::7,2024-02-25 00:00:00+00:00,1
1390.0,1287,3,2025-04-19 00:00:00+00:00,1
1549.0,1453,addon::1,2025-06-10 00:00:00+00:00,1
816.0,493,addon::8,2024-10-12 00:00:00+00:00,1
,891,8,,0
974.0,882,addon::2,2024-12-07 00:00:00+00:00,1
,2173,5,,0
,1397,4,,0
623.0,2204,addon::7,2024-08-11 00:00:00+00:00,1
,259,7,,0
,510,21,,0
1938.0,336,addon::7,2025-11-16 00:00:00+00:00,1
563.0,454,addon::7,2024-07-15 00:00:00+00:00,1
1895.0,1763,1,2025-10-27 00:00:00+00:00,1
1757.0,540,addon::7,2025-08-30 00:00:00+00:00,1
703.0,610,addon::8,2024-09-12 00:00:00+00:00,1
27.0,2057,addon::14,2024-03-03 00:00:00+00:00,1
1780.0,1668,addon::7,2025-09-07 00:00:00+00:00,1
1926.0,2226,2,2025-11-13 00:00:00+00:00,1
,2204,17,,0
,2394,8,,0
1282.0,1151,3,2025-03-16 00:00:00+00:00,1
608.0,502,5,2024-08-05 00:00:00+00:00,1
,2274,18,,0
504.0,386,addon::7,2024-06-28 00:00:00+00:00,1
,2377,3,,0
1291.0,1159,addon::9,2025-03-18 00:00:00+00:00,1
,1405,19,,0
501.0,383,addon::1,2024-06-27 00:00:00+00:00,1
1940.0,1646,2,2025-11-16 00:00:00+00:00,1
1858.0,503,3,2025-10-11 00:00:00+00:00,1
251.0,31,3,2024-05-04 00:00:00+00:00,1
1457.0,1357,addon::2,2025-05-11 00:00:00+00:00,1
561.0,452,1,2024-07-14 00:00:00+00:00,1
,722,4,,0
1356.0,1244,addon::8,2025-04-11 00:00:00+00:00,1
39.0,2069,addon::11,2024-03-09 00:00:00+00:00,1
1535.0,858,2,2025-06-06 00:00:00+00:00,1
924.0,828,5,2024-11-16 00:00:00+00:00,1
,1005,20,,0
1905.0,1773,2,2025-11-02 00:00:00+00:00,1
,238,6,,0
,1438,4,,0
9.0,2042,5,2024-02-26 00:00:00+00:00,1
,2122,5,,0
1873.0,1744,2,2025-10-18 00:00:00+00:00,1
,6,4,,0
418.0,2275,addon::11,2024-06-11 00:00:00+00:00,1
1768.0,1659,2,2025-09-04 00:00:00+00:00,1
1700.0,1602,addon::8,2025-08-08 00:00:00+00:00,1
,2299,3,,0
1348.0,1241,addon::7,2025-04-10 00:00:00+00:00,1
974.0,882,addon::7,2024-12-07 00:00:00+00:00,1
26.0,2056,3,2024-03-03 00:00:00+00:00,1
898.0,809,3,2024-11-09 00:00:00+00:00,1
724.0,631,addon::8,2024-09-16 00:00:00+00:00,1
,176,3,,0
1153.0,2365,addon::7,2025-01-19 00:00:00+00:00,1
619.0,2295,3,2024-08-10 00:00:00+00:00,1
861.0,770,addon::5,2024-10-27 00:00:00+00:00,1
,404,3,,0
504.0,386,2,2024-06-28 00:00:00+00:00,1
1131.0,1015,addon::5,2025-01-08 00:00:00+00:00,1
1688.0,1595,addon::8,2025-08-04 00:00:00+00:00,1
1860.0,1735,4,2025-10-12 00:00:00+00:00,1
1860.0,1735,addon::7,2025-10-12 00:00:00+00:00,1
,2381,19,,0
,314,5,,0
,177,1,,0
,2331,6,,0
1524.0,1430,addon::11,2025-06-01 00:00:00+00:00,1
214.0,2194,addon::8,2024-04-28 00:00:00+00:00,1
,1548,3,,0
,74,18,,0
,765,7,,0
1590.0,332,2,2025-06-25 00:00:00+00:00,1
1703.0,1608,2,2025-08-10 00:00:00+00:00,1
,2203,5,,0
998.0,903,addon::1,2024-12-14 00:00:00+00:00,1
1515.0,1417,addon::9,2025-05-30 00:00:00+00:00,1
672.0,570,addon::2,2024-08-27 00:00:00+00:00,1
190.0,1319,5,2024-04-22 00:00:00+00:00,1
,1148,1,,0
1373.0,1274,addon::8,2025-04-14 00:00:00+00:00,1
,2092,17,,0
1678.0,487,2,2025-08-01 00:00:00+00:00,1
,916,17,,0
395.0,2271,3,2024-06-04 00:00:00+00:00,1
,225,9,,0
,780,8,,0
244.0,24,addon::8,2024-05-03 00:00:00+00:00,1
,248,3,,0
1155.0,1039,addon::2,2025-01-20 00:00:00+00:00,1
1775.0,1663,addon::2,2025-09-06 00:00:00+00:00,1
,2106,9,,0
499.0,379,5,2024-06-26 00:00:00+00:00,1
1098.0,2359,addon::1,2024-12-31 00:00:00+00:00,1
1288.0,2380,addon::8,2025-03-17 00:00:00+00:00,1
1376.0,1269,addon::1,2025-04-14 00:00:00+00:00,1
275.0,66,addon::7,2024-05-09 00:00:00+00:00,1
1650.0,2422,addon::7,2025-07-19 00:00:00+00:00,1
,1720,6,,0
,1781,7,,0
65.0,2089,3,2024-03-20 00:00:00+00:00,1
,1719,20,,0
1414.0,1322,addon::8,2025-04-28 00:00:00+00:00,1
,1159,4,,0
154.0,1097,3,2024-04-14 00:00:00+00:00,1
,2045,18,,0
120.0,2125,3,2024-04-03 00:00:00+00:00,1
1336.0,1221,addon::7,2025-04-07 00:00:00+00:00,1
1931.0,376,3,2025-11-15 00:00:00+00:00,1
1498.0,1392,addon::1,2025-05-24 00:00:00+00:00,1
452.0,329,2,2024-06-16 00:00:00+00:00,1
,508,1,,0
296.0,96,6,2024-05-15 00:00:00+00:00,1
,343,19,,0
,1203,4,,0
,383,21,,0
1547.0,2405,addon::8,2025-06-09 00:00:00+00:00,1
767.0,675,2,2024-10-02 00:00:00+00:00,1
608.0,502,addon::2,2024-08-05 00:00:00+00:00,1
1722.0,2220,addon::1,2025-08-16 00:00:00+00:00,1
1580.0,1487,addon::7,2025-06-22 00:00:00+00:00,1
178.0,2165,3,2024-04-21 00:00:00+00:00,1
477.0,317,addon::7,2024-06-22 00:00:00+00:00,1
967.0,20,addon::8,2024-12-04 00:00:00+00:00,1
930.0,753,addon::8,2024-11-19 00:00:00+00:00,1
1819.0,1705,4,2025-09-25 00:00:00+00:00,1
464.0,343,1,2024-06-18 00:00:00+00:00,1
1303.0,1171,addon::7,2025-03-22 00:00:00+00:00,1
,662,4,,0
,1754,7,,0
